"faa","name","lat","lon","alt","tz","dst","tzone"
"ALS","San Luis Valley Regional Bergman Field",37.434898,-105.866997,7539,-7,"A","America/Denver"
"ALW","Walla Walla Regional Airport",46.09489822,-118.288002,1194,-8,"A","America/Los_Angeles"
"ALX","Thomas C Russell Field",32.9146995544,-85.9629974365,686,-5,"A",NA
"AMA","Rick Husband Amarillo International Airport",35.219398,-101.706001,3607,-6,"A","America/Chicago"
"ANB","Anniston Regional Airport",33.5882,-85.8581,612,-6,"A","America/Chicago"
"ANC","Ted Stevens Anchorage International Airport",61.1744003295898,-149.996002197266,152,-9,"A","America/Anchorage"
"AND","Anderson Regional Airport",34.4945983887,-82.7093963623,782,-5,"A","America/New_York"
"ANI","Aniak Airport",61.581600189209,-159.542999267578,88,-9,"A","America/Anchorage"
"ANN","Annette Island Airport",55.0424003601074,-131.572006225586,119,-9,"A","America/Anchorage"
"ANP","Lee Airport",38.942902,-76.568398,34,-5,"A","America/New_York"
"ANQ","Tri State Steuben County Airport",41.639702,-85.083504,995,-5,"A","America/New_York"
"ANV","Anvik Airport",62.646702,-160.190994,291,-9,"A","America/Anchorage"
"AOH","Lima Allen County Airport",40.706902,-84.026703,975,-5,"A","America/New_York"
"AOO","Altoona Blair County Airport",40.29639816,-78.31999969,1503,-5,"A","America/New_York"
"APA","Centennial Airport",39.57009888,-104.848999,5885,-7,"A","America/Denver"
"APC","Napa County Airport",38.2132,-122.280998,35,-8,"A","America/Los_Angeles"
"APF","Naples Municipal Airport",26.1525993347,-81.7752990723,8,-5,"A","America/New_York"
"APG","Phillips Army Air Field",39.466202,-76.1688,57,-5,"A","America/New_York"
"APN","Alpena County Regional Airport",45.0780983,-83.56030273,690,-5,"A","America/New_York"
"APT","Marion County Brown Field",35.060699,-85.585297,641,-5,"A",NA
"ARA","Acadiana Regional Airport",30.0378,-91.883904,24,-6,"A","America/Chicago"
"ARB","Ann Arbor Municipal Airport",42.2229995728,-83.7455978394,839,-5,"A","America/New_York"
"ARC","Arctic Village Airport",68.1147,-145.578995,2092,-9,"A","America/Anchorage"
"ART","Watertown International Airport",43.9919013977051,-76.0216979980469,325,-5,"A","America/New_York"
"ARV","Lakeland-Noble F. Lee Memorial field",45.92789841,-89.73090363,1629,-6,"A","America/Chicago"
"ASE","Aspen-Pitkin Co/Sardy Field",39.22320175,-106.8690033,7820,-7,"A","America/Denver"
"ASH","Boire Field",42.7817001343,-71.5148010254,199,-5,"A","America/New_York"
"ASN","Talladega Municipal Airport",33.5699005127,-86.0509033203,529,-5,"A",NA
"AST","Astoria Regional Airport",46.158000946,-123.878997803,15,-8,"A","America/Los_Angeles"
"ATK","Atqasuk Edward Burnell Sr Memorial Airport",70.4673004150391,-157.436004638672,96,-9,"A","America/Anchorage"
"ATL","Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,1026,-5,"A","America/New_York"
"ATO","Ohio University Snyder Field",39.2109985352,-82.2313995361,766,-5,"U","America/New_York"
"ATW","Appleton International Airport",44.2580986023,-88.5190963745,918,-6,"A","America/Chicago"
"ATY","Watertown Regional Airport",44.91400146,-97.15470123,1749,-6,"A","America/Chicago"
"AUG","Augusta State Airport",44.3205986023,-69.7973022461,352,-5,"A","America/New_York"
"AUK","Alakanuk Airport",62.6800422668,-164.659927368,10,-9,"A","America/Anchorage"
"AUO","Auburn University Regional Airport",32.615101,-85.433998,777,-6,"A","America/Chicago"
"AUS","Austin Bergstrom International Airport",30.1944999694824,-97.6698989868164,542,-6,"A","America/Chicago"
"AUW","Wausau Downtown Airport",44.9262008667,-89.6266021729,1201,-6,"U","America/Chicago"
"AVL","Asheville Regional Airport",35.4361991882324,-82.5418014526367,2165,-5,"A","America/New_York"
"AVO","Avon Park Executive Airport",27.59119987,-81.52780151,160,-5,"A","America/New_York"
"AVP","Wilkes Barre Scranton International Airport",41.3385009766,-75.7233963013,962,-5,"A","America/New_York"
"AVW","Marana Regional Airport",32.4095993042,-111.218002319,2031,-7,"U","America/Phoenix"
"AVX","Catalina Airport",33.4049,-118.416,1602,-8,"A","America/Los_Angeles"
"AXN","Chandler Field",45.8662986755,-95.3946990967,1425,NA,NA,NA
"AYS","Waycross Ware County Airport",31.2490997314,-82.3955001831,142,-5,"A",NA
"AZA","Phoenix-Mesa-Gateway Airport",33.30780029,-111.6549988,1382,-7,"N","America/Phoenix"
"AZO","Kalamazoo Battle Creek International Airport",42.2349014282227,-85.5521011352539,874,-5,"A","America/New_York"
"BAB","Beale Air Force Base",39.136100769,-121.43699646,113,-8,"A","America/Los_Angeles"
"BAD","Barksdale Air Force Base",32.5018005371,-93.6626968384,166,-6,"A","America/Chicago"
"BAF","Westfield-Barnes Regional Airport",42.157799,-72.715599,271,-5,"A","America/New_York"
"BBC","Bay City Municipal Airport",28.9733009338,-95.8635025024,45,-5,"A",NA
"BBD","Curtis Field",31.1793003082,-99.3238983154,1827,NA,NA,NA
"BBX","Wings Field",40.1375007629,-75.2650985718,302,-5,"A","America/New_York"
"BCE","Bryce Canyon Airport",37.706401825,-112.144996643,7590,-7,"A","America/Denver"
"BCT","Boca Raton Airport",26.3784999847,-80.1076965332,13,-5,"A","America/New_York"
"BDE","Baudette International Airport",48.7284011841,-94.612197876,1086,-6,"A","America/Chicago"
"BDL","Bradley International Airport",41.9388999939,-72.6831970215,173,-5,"A","America/New_York"
"BDR","Igor I Sikorsky Memorial Airport",41.163501739502,-73.1261978149414,9,-5,"A","America/New_York"
"BEC","Beech Factory Airport",37.6944999695,-97.2149963379,1408,-6,"A","America/Chicago"
"BED","Laurence G Hanscom Field",42.47000122,-71.28900146,133,-5,"A","America/New_York"
"BET","Bethel Airport",60.77980042,-161.8379974,126,-9,"A","America/Anchorage"
"BFD","Bradford Regional Airport",41.8031005859375,-78.6400985717773,2143,-5,"A","America/New_York"
"BFF","Western Neb. Rgnl/William B. Heilig Airport",41.87400055,-103.5960007,3967,-7,"A","America/Denver"
"BFI","Boeing Field King County International Airport",47.5299987792969,-122.302001953125,21,-8,"A","America/Los_Angeles"
"BFK","Buckley Air Force Base",39.7016983032,-104.751998901,5662,-7,"A","America/Denver"
"BFL","Meadows Field",35.43360138,-119.0569992,510,-8,"A","America/Los_Angeles"
"BFM","Mobile Downtown Airport",30.6268005371,-88.0680999756,26,-6,"A","America/Chicago"
"BFP","Beaver County Airport",40.7724990845,-80.3914031982,1253,-5,"A","America/New_York"
"BFT","Beaufort County Airport",32.4122009277,-80.6343994141,10,-5,"A","America/New_York"
"BGD","Hutchinson County Airport",35.7009010315,-101.393997192,3055,-5,"A",NA
"BGE","Decatur County Industrial Air Park",30.9715004,-84.63739777,141,-5,"A","America/New_York"
"BGM","Greater Binghamton/Edwin A Link field",42.20869827,-75.97979736,1636,-5,"A","America/New_York"
"BGR","Bangor International Airport",44.8073997497559,-68.8281021118164,192,-5,"A","America/New_York"
"BHB","Hancock County-Bar Harbor Airport",44.45000076,-68.3615036,83,-5,"A","America/New_York"
"BHM","Birmingham-Shuttlesworth International Airport",33.56290054,-86.75350189,650,-6,"A","America/Chicago"
"BID","Block Island State Airport",41.1680984497,-71.577796936,108,-5,"A","America/New_York"
"BIF","Biggs Army Air Field (Fort Bliss)",31.84950066,-106.3799973,3946,-7,"A","America/Denver"
"BIG","Allen Army Airfield",63.9944992065,-145.722000122,1291,-9,"A","America/Anchorage"
"BIH","Eastern Sierra Regional Airport",37.3731002808,-118.363998413,4124,NA,NA,NA
"BIL","Billings Logan International Airport",45.8077011108398,-108.542999267578,3652,-7,"A","America/Denver"
"BIS","Bismarck Municipal Airport",46.7727012634277,-100.746002197266,1661,-6,"A","America/Chicago"
"BIX","Keesler Air Force Base",30.4104003906,-88.9244003296,33,-6,"A","America/Chicago"
"BJC","Rocky Mountain Metropolitan Airport",39.90879822,-105.1169968,5673,-7,"A","America/Denver"
"BJI","Bemidji Regional Airport",47.50939941,-94.93370056,1391,-6,"A","America/Chicago"
"BKC","Buckland Airport",65.9815979004,-161.149002075,31,-9,"A","America/Anchorage"
"BKD","Stephens County Airport",32.71900177,-98.8909988403,1284,-6,"A","America/Chicago"
"BKE","Baker City Municipal Airport",44.8372993469,-117.808998108,3373,NA,NA,NA
"BKG","Branson Airport",36.532082,-93.200544,1302,-6,"A","America/Chicago"
"BKH","Barking Sands Airport",22.0228004456,-159.785003662,23,-10,"A","Pacific/Honolulu"
"BKL","Burke Lakefront Airport",41.5175018310547,-81.6832962036133,583,-5,"A","America/New_York"
"BKW","Raleigh County Memorial Airport",37.7873001099,-81.1241989136,2504,-5,"A","America/New_York"
"BLF","Mercer County Airport",37.2957992553711,-81.2077026367188,2857,-5,"A","America/New_York"
"BLH","Blythe Airport",33.6192016602,-114.717002869,399,-8,"A","America/Los_Angeles"
"BLI","Bellingham International Airport",48.7928009033203,-122.53800201416,170,-8,"A","America/Los_Angeles"
"BLV","Scott AFB/Midamerica Airport",38.5452,-89.835197,459,-6,"A","America/Chicago"
"BMC","Brigham City Regional Airport",41.552399,-112.061996,4229,-7,"A","America/Denver"
"BMG","Monroe County Airport",39.1459999084473,-86.61669921875,846,-5,"A","America/New_York"
"BMI","Central Illinois Regional Airport at Bloomington-Normal",40.47710037,-88.91590118,871,-6,"A","America/Chicago"
"BMT","Beaumont Municipal Airport",30.0706996918,-94.2157974243,32,-6,"A","America/Chicago"
"BMX","Big Mountain Airport",59.3611984253,-155.259002686,663,-9,"A","America/Anchorage"
"BNA","Nashville International Airport",36.1245002746582,-86.6781997680664,599,-6,"A","America/Chicago"
"BNG","Banning Municipal Airport",33.9230995178,-116.850997925,2219,-8,"A",NA
"BNO","Burns Municipal Airport",43.5918998718,-118.955001831,4148,-8,"A","America/Los_Angeles"
"BOI","Boise Air Terminal/Gowen Field",43.5644,-116.223,2871,-7,"A","America/Denver"
"BOS","General Edward Lawrence Logan International Airport",42.36429977,-71.00520325,20,-5,"A","America/New_York"
"BOW","Bartow Municipal Airport",27.9433994293,-81.7834014893,125,-5,"U","America/New_York"
"BPI","Miley Memorial Field",42.58509827,-110.1110001,6990,NA,NA,NA
"BPT","Southeast Texas Regional Airport",29.9507999420166,-94.0206985473633,15,-6,"A","America/Chicago"
"BQK","Brunswick Golden Isles Airport",31.2588005065918,-81.4664993286133,26,-5,"A","America/New_York"
"BQN","Rafael Hernández Airport",18.494444,-67.136389,237.7,-4,"N","America/Puerto_Rico"
"BRD","Brainerd Lakes Regional Airport",46.39830017,-94.13809967,1232,-6,"U","America/Chicago"
"BRL","Southeast Iowa Regional Airport",40.7831993103027,-91.1255035400391,698,-6,"A","America/Chicago"
"BRO","Brownsville South Padre Island International Airport",25.9067993164062,-97.4259033203125,22,-6,"A","America/Chicago"
"BRW","Wiley Post Will Rogers Memorial Airport",71.285402,-156.766008,44,-9,"A","America/Anchorage"
"BSF","Bradshaw Army Airfield",19.760099411,-155.554000854,6190,-10,"A","Pacific/Honolulu"
"BTI","Barter Island LRRS Airport",70.1340026855,-143.582000732,2,-9,"A","America/Anchorage"
"BTL","W K Kellogg Airport",42.3073005676,-85.2515029907,952,NA,NA,NA
"BTM","Bert Mooney Airport",45.9547996520996,-112.497001647949,5550,-7,"A","America/Denver"
"BTR","Baton Rouge Metropolitan Airport",30.533199,-91.149597,70,-6,"A","America/Chicago"
"BTT","Bettles Airport",66.91390228,-151.529007,647,-9,"A","America/Anchorage"
"BTV","Burlington International Airport",44.4719009399,-73.1532974243,335,-5,"A","America/New_York"
"BUF","Buffalo Niagara International Airport",42.94049835,-78.73220062,728,-5,"A","America/New_York"
"BUR","Bob Hope Airport",34.2006988525391,-118.359001159668,778,-8,"A","America/Los_Angeles"
"BVY","Beverly Municipal Airport",42.5842018127,-70.9164962769,107,-5,"A","America/New_York"
"BWG","Bowling Green Warren County Regional Airport",36.9645004272,-86.4197006226,547,-6,"A","America/Chicago"
"BWI","Baltimore/Washington International Thurgood Marshall Airport",39.1754,-76.668297,146,-5,"A","America/New_York"
"BXK","Buckeye Municipal Airport",33.42039871,-112.685997,1033,-7,"U","America/Phoenix"
"BYH","Arkansas International Airport",35.9642982483,-89.9440002441,254,-6,"A","America/Chicago"
"BYI","Burley Municipal Airport",42.5425987244,-113.772003174,4150,NA,NA,NA
"BYS","Bicycle Lake Army Air Field",35.2804985046,-116.629997253,2350,-8,"A","America/Los_Angeles"
"BZN","Gallatin Field",45.77750015,-111.1529999,4473,-7,"A","America/Denver"
"CAE","Columbia Metropolitan Airport",33.9388008117676,-81.119499206543,236,-5,"A","America/New_York"
"CAK","Akron Canton Regional Airport",40.9160995483398,-81.4421997070312,1228,-5,"A","America/New_York"
"CAR","Caribou Municipal Airport",46.8714981079,-68.0178985596,626,-5,"A","America/New_York"
"CBE","Greater Cumberland Regional Airport",39.615398407,-78.7609024048,775,-5,"A","America/New_York"
"CBF","Council Bluffs Municipal Airport",41.2592010498,-95.760597229,1253,-5,"A",NA
"CBM","Columbus Air Force Base",33.6437988281,-88.4438018799,219,-6,"A","America/Chicago"
"CCB","Cable Airport",34.1115989685,-117.68800354,1444,-8,"A",NA
"CCR","Buchanan Field",37.9897003174,-122.056999207,26,-8,"A","America/Los_Angeles"
"CCY","Northeast Iowa Regional Airport",43.0726013184,-92.6108016968,1125,NA,NA,NA
"CDB","Cold Bay Airport",55.2061004638672,-162.725006103516,96,-9,"A","America/Anchorage"
"CDC","Cedar City Regional Airport",37.701000213623,-113.098999023438,5622,-7,"A","America/Denver"
"CDN","Woodward Field",34.2835998535,-80.5649032593,302,-5,"A","America/New_York"
"CDR","Chadron Municipal Airport",42.837600708,-103.095001221,3297,-7,"A","America/Denver"
"CDS","Childress Municipal Airport",34.4337997437,-100.288002014,1954,-6,"A","America/Chicago"
"CDV","Merle K (Mudhole) Smith Airport",60.4917984,-145.4779968,54,-9,"A","America/Anchorage"
"CDW","Essex County Airport",40.8751983643,-74.2814025879,173,-5,"A","America/New_York"
"CEC","Jack Mc Namara Field Airport",41.78020096,-124.2369995,61,-8,"A","America/Los_Angeles"
"CEF","Westover ARB/Metropolitan Airport",42.19400024,-72.53479767,241,-5,"A","America/New_York"
"CEM","Central Airport",65.57379913,-144.7830048,937,-9,"A","America/Anchorage"
"CEU","Oconee County Regional Airport",34.6719017,-82.8864975,892,-5,"A","America/New_York"
"CEW","Bob Sikes Airport",30.778799057,-86.522102356,213,-6,"A","America/Chicago"
"CEZ","Cortez Municipal Airport",37.3030014038,-108.627998352,5918,-7,"A","America/Denver"
"CFD","Coulter Field",30.7157001495,-96.3313980103,367,-6,"A","America/Chicago"
"CFV","Coffeyville Municipal Airport",37.09400177,-95.5718994141,754,-5,"A",NA
"CGF","Cuyahoga County Airport",41.5651016235,-81.4863967896,879,-5,"A","America/New_York"
"CGI","Cape Girardeau Regional Airport",37.2252998352051,-89.57080078125,342,-6,"A","America/Chicago"
"CGX","Chicago Meigs Airport",41.8587989807129,-87.6079025268555,593,-6,"A","America/Chicago"
"CGZ","Casa Grande Municipal Airport",32.954899,-111.766998,1464,-7,"U","America/Phoenix"
"CHA","Lovell Field",35.0353012084961,-85.2037963867188,683,-5,"A","America/New_York"
"CHO","Charlottesville Albemarle Airport",38.138599395752,-78.4529037475586,639,-5,"A","America/New_York"
"CHS","Charleston Air Force Base-International Airport",32.89860153,-80.04049683,46,-5,"A","America/New_York"
"CHU","Chuathbaluk Airport",61.579102,-159.216003,244,-9,"A","America/Anchorage"
"CIC","Chico Municipal Airport",39.79539871,-121.8580017,240,-8,"A","America/Los_Angeles"
"CID","The Eastern Iowa Airport",41.8847007751465,-91.7108001708984,869,-6,"A","America/Chicago"
"CIK","Chalkyitsik Airport",66.6449966431,-143.740005493,544,-9,"A","America/Anchorage"
"CIU","Chippewa County International Airport",46.2508010864258,-84.4723968505859,800,-5,"A","America/New_York"
"CKB","North Central West Virginia Airport",39.2966003418,-80.2281036377,1217,-5,"A","America/New_York"
"CKV","Clarksville–Montgomery County Regional Airport",36.6218986511,-87.4150009155,550,-6,"A","America/Chicago"
"CLD","Mc Clellan-Palomar Airport",33.12829971,-117.2799988,331,-8,"A","America/Los_Angeles"
"CLE","Cleveland Hopkins International Airport",41.4117012024,-81.8498001099,791,-5,"A","America/New_York"
"CLL","Easterwood Field",30.58860016,-96.36380005,320,-6,"A","America/Chicago"
"CLM","William R Fairchild International Airport",48.1202011108398,-123.5,291,-8,"A","America/Los_Angeles"
"CLP","Clarks Point Airport",58.83369827,-158.529007,80,-9,"A",NA
"CLS","Chehalis Centralia Airport",46.6769981384,-122.983001709,176,-8,"A","America/Los_Angeles"
"CLT","Charlotte Douglas International Airport",35.2140007019043,-80.9430999755859,748,-5,"A","America/New_York"
"CLU","Columbus Municipal Airport",39.2619018555,-85.8963012695,656,NA,NA,NA
"CLW","Clearwater Air Park",27.9766998291,-82.7586975098,71,-5,"A","America/New_York"
"CMH","John Glenn Columbus International Airport",39.998001,-82.891899,815,-5,"A","America/New_York"
"CMI","University of Illinois Willard Airport",40.03919983,-88.27809906,755,-6,"A","America/Chicago"
"CMX","Houghton County Memorial Airport",47.168399810791,-88.4890975952148,1095,-5,"A","America/New_York"
"CNM","Cavern City Air Terminal",32.3375015258789,-104.263000488281,3295,-7,"A","America/Denver"
"CNO","Chino Airport",33.97470093,-117.637001,650,-8,"A",NA
"CNU","Chanute Martin Johnson Airport",37.668800354,-95.4850997925,1002,NA,NA,NA
"CNW","TSTC Waco Airport",31.6378002167,-97.0740966797,470,-6,"A","America/Chicago"
"CNY","Canyonlands Field",38.75500107,-109.7549973,4557,-7,"A","America/Denver"
"COD","Yellowstone Regional Airport",44.520198822,-109.024002075,5102,-7,"A","America/Denver"
"COE","Coeur D'Alene - Pappy Boyington Field",47.77429962,-116.8199997,2320,-8,"A","America/Los_Angeles"
"COF","Patrick Air Force Base",28.2348995209,-80.6100997925,8,-5,"A","America/New_York"
"CON","Concord Municipal Airport",43.20270157,-71.50229645,342,-5,"A","America/New_York"
"COS","City of Colorado Springs Municipal Airport",38.805801,-104.700996,6187,-7,"A","America/Denver"
"COT","Cotulla-La Salle County Airport",28.45669937,-99.22029877,474,-6,"A","America/Chicago"
"COU","Columbia Regional Airport",38.8180999755859,-92.219596862793,889,-6,"A","America/Chicago"
"CPR","Casper-Natrona County International Airport",42.908001,-106.463997,5350,-7,"A","America/Denver"
"CRE","Grand Strand Airport",33.8116989136,-78.7238998413,32,-5,"A","America/New_York"
"CRG","Jacksonville Executive at Craig Airport",30.3362998962,-81.5143966675,41,NA,NA,NA
"CRP","Corpus Christi International Airport",27.7703990936279,-97.5011978149414,44,-6,"A","America/Chicago"
"CRW","Yeager Airport",38.3731002807617,-81.5932006835938,981,-5,"A","America/New_York"
"CSG","Columbus Metropolitan Airport",32.516300201416,-84.9389038085938,397,-5,"A","America/New_York"
"CSM","Clinton Sherman Airport",35.3398017883,-99.2005004883,1922,-6,"A","America/Chicago"
"CSV","Crossville Memorial Whitson Field",35.9513015747,-85.0849990845,1881,NA,NA,NA
"CTB","Cut Bank International Airport",48.6083984375,-112.375999451,3854,-7,"A","America/Denver"
"CTH","Chester County G O Carlson Airport",39.97900009,-75.8655014,660,-5,"A","America/New_York"
"CTY","Cross City Airport",29.6354999542,-83.1047973633,42,-5,"A","America/New_York"
"CUB","Jim Hamilton L.B. Owens Airport",33.970500946,-80.9952011108,193,-4,"A",NA
"CUH","Cushing Municipal Airport",35.9499015808,-96.7731018066,916,-6,"A","America/Chicago"
"CVG","Cincinnati Northern Kentucky International Airport",39.0488014221,-84.6678009033,896,-5,"A","America/New_York"
"CVN","Clovis Municipal Airport",34.4250984192,-103.07900238,4216,-7,"A","America/Denver"
"CVO","Corvallis Municipal Airport",44.49720001,-123.2900009,250,-8,"A","America/Los_Angeles"
"CVS","Cannon Air Force Base",34.3828010559,-103.321998596,4295,-7,"A","America/Denver"
"CWA","Central Wisconsin Airport",44.7775993347,-89.6668014526,1277,-6,"A","America/Chicago"
"CWI","Clinton Municipal Airport",41.8311004639,-90.3291015625,708,-6,"A","America/Chicago"
"CXL","Calexico International Airport",32.6694984436,-115.513000488,4,-8,"A","America/Los_Angeles"
"CXO","Conroe-North Houston Regional Airport",30.351801,-95.414497,245,-6,"A","America/Chicago"
"CYF","Chefornak Airport",60.1492004395,-164.285995483,40,-9,"A","America/Anchorage"
"CYS","Cheyenne Regional Jerry Olson Field",41.15570068,-104.8119965,6159,-7,"A","America/Denver"
"CYT","Yakataga Airport",60.080974,-142.494541,12,-9,"A","America/Anchorage"
"CZF","Cape Romanzof LRRS Airport",61.78030014,-166.0390015,464,-9,"A","America/Anchorage"
"DAA","Davison Army Air Field",38.7150001526,-77.1809997559,73,NA,NA,NA
"DAB","Daytona Beach International Airport",29.179899,-81.058098,34,-5,"A","America/New_York"
"DAG","Barstow Daggett Airport",34.85369873,-116.7870026,1930,NA,NA,NA
"DAL","Dallas Love Field",32.847099,-96.851799,487,-6,"A","America/Chicago"
"DAN","Danville Regional Airport",36.5728988647461,-79.3360977172852,571,-5,"A","America/New_York"
"DAY","James M Cox Dayton International Airport",39.902400970459,-84.2193984985352,1009,-5,"A","America/New_York"
"DBN","W H 'Bud' Barron Airport",32.56439972,-82.98529816,309,-5,"A","America/New_York"
"DBQ","Dubuque Regional Airport",42.40200043,-90.70950317,1077,-6,"A","America/Chicago"
"DCA","Ronald Reagan Washington National Airport",38.8521,-77.037697,15,-5,"A","America/New_York"
"DCU","Pryor Field Regional Airport",34.6526985168,-86.9453964233,592,-6,"A",NA
"DDC","Dodge City Regional Airport",37.7634010314941,-99.9655990600586,2594,-6,"A","America/Chicago"
"DEC","Decatur Airport",39.8345985412598,-88.8656997680664,682,-6,"A","America/Chicago"
"DEN","Denver International Airport",39.861698150635,-104.672996521,5431,-7,"A","America/Denver"
"DET","Coleman A. Young Municipal Airport",42.40919876,-83.00990295,626,-5,"A","America/New_York"
"DFW","Dallas Fort Worth International Airport",32.896801,-97.038002,607,-6,"A","America/Chicago"
"DGL","Douglas Municipal Airport",31.3425998688,-109.505996704,4173,-7,"N","America/Phoenix"
"DHN","Dothan Regional Airport",31.3213005065918,-85.4496002197266,401,-6,"A","America/Chicago"
"DHT","Dalhart Municipal Airport",36.0225982666,-102.54699707,3991,-6,"A","America/Chicago"
"DIK","Dickinson Theodore Roosevelt Regional Airport",46.7974014282,-102.802001953,2592,-7,"A","America/Denver"
"DKK","Chautauqua County-Dunkirk Airport",42.49330139,-79.27200317,693,-5,"A","America/New_York"
"DLF","DLF Airport",29.359501,-100.778002,1082,-6,"A","America/Chicago"
"DLG","Dillingham Airport",59.04470062,-158.5050049,81,-9,"A","America/Anchorage"
"DLH","Duluth International Airport",46.8420982361,-92.1936035156,1428,-6,"A","America/Chicago"
"DLS","Columbia Gorge Regional the Dalles Municipal Airport",45.6184997559,-121.166999817,247,-8,"A","America/Los_Angeles"
"DMA","Davis Monthan Air Force Base",32.1665000916,-110.883003235,2704,-7,"A","America/Phoenix"
"DMN","Deming Municipal Airport",32.262298584,-107.721000671,4314,NA,NA,NA
"DNL","Daniel Field",33.4664993286,-82.0393981934,423,-5,"A","America/New_York"
"DNN","Dalton Municipal Airport",34.72290039,-84.87020111,709,-5,"A","America/New_York"
"DNV","Vermilion Regional Airport",40.19919968,-87.59590149,697,-6,"A","America/Chicago"
"DOV","Dover Air Force Base",39.12950134,-75.46600342,24,-5,"A","America/New_York"
"DPA","Dupage Airport",41.90779877,-88.24859619,759,-6,"A","America/Chicago"
"DRA","Desert Rock Airport",36.6194,-116.032997,3314,NA,NA,NA
"DRE","Drummond Island Airport",46.0093002319,-83.7438964844,668,-5,"A","America/New_York"
"DRG","Deering Airport",66.0696029663,-162.76600647,21,-9,"A","America/Anchorage"
"DRI","Beauregard Regional Airport",30.8316993713,-93.3398971558,202,-6,"A","America/Chicago"
