"Start"	"Stop"	"Duration"	"Note"
" Oct 22 00:30"	" Oct 22 03:27"	"2 hrs 57 mins"	""
" Oct 21 21:00"	" Oct 22 00:00"	"3 hrs"	""
" Oct 21 16:22"	" Oct 21 16:25"	"4 mins"	""
" Oct 21 12:30"	" Oct 21 15:07"	"2 hrs 37 mins"	""
" Oct 21 10:00"	" Oct 21 11:10"	"1 hr 11 mins"	""
" Oct 21 07:53"	" Oct 21 08:30"	"37 mins"	""
" Oct 21 04:01"	" Oct 21 07:20"	"3 hrs 19 mins"	""
" Oct 21 00:59"	" Oct 21 03:43"	"2 hrs 44 mins"	""
" Oct 20 20:00"	" Oct 21 00:38"	"4 hrs 39 mins"	""
" Oct 20 17:00"	" Oct 20 17:45"	"45 mins"	""
" Oct 20 11:43"	" Oct 20 12:27"	"44 mins"	""
" Oct 20 09:33"	" Oct 20 10:29"	"56 mins"	""
" Oct 20 06:12"	" Oct 20 08:37"	"2 hrs 25 mins"	""
" Oct 20 03:03"	" Oct 20 05:26"	"2 hrs 24 mins"	""
" Oct 19 22:00"	" Oct 20 02:30"	"4 hrs 30 mins"	""
" Oct 19 17:08"	" Oct 19 17:43"	"36 mins"	""
" Oct 19 15:00"	" Oct 19 16:01"	"1 hr 1 min"	""
" Oct 19 13:47"	" Oct 19 14:21"	"35 mins"	""
" Oct 19 11:00"	" Oct 19 12:00"	"1 hr"	""
" Oct 19 05:38"	" Oct 19 08:16"	"2 hrs 38 mins"	""
" Oct 19 01:47"	" Oct 19 04:53"	"3 hrs 6 mins"	""
" Oct 18 19:49"	" Oct 19 01:20"	"5 hrs 32 mins"	""
" Oct 18 17:33"	" Oct 18 18:06"	"34 mins"	""
" Oct 18 16:49"	" Oct 18 16:55"	"6 mins"	""
" Oct 18 14:00"	" Oct 18 16:00"	"2 hrs"	""
" Oct 18 11:10"	" Oct 18 12:10"	"1 hr"	""
" Oct 18 06:37"	" Oct 18 08:41"	"2 hrs 4 mins"	""
" Oct 18 03:09"	" Oct 18 06:09"	"2 hrs 60 mins"	""
" Oct 17 22:28"	" Oct 18 02:14"	"3 hrs 46 mins"	""
" Oct 17 18:50"	" Oct 17 20:24"	"1 hr 35 mins"	""
" Oct 17 17:00"	" Oct 17 17:30"	"30 mins"	""
" Oct 17 14:43"	" Oct 17 15:36"	"53 mins"	""
" Oct 17 10:18"	" Oct 17 13:22"	"3 hrs 5 mins"	""
" Oct 17 03:43"	" Oct 17 07:41"	"3 hrs 59 mins"	""
" Oct 16 23:00"	" Oct 17 03:00"	"4 hrs"	""
" Oct 16 19:20"	" Oct 16 19:36"	"16 mins"	""
" Oct 16 16:15"	" Oct 16 17:52"	"1 hr 37 mins"	""
" Oct 16 13:19"	" Oct 16 15:16"	"1 hr 58 mins"	""
" Oct 16 11:45"	" Oct 16 13:00"	"1 hr 15 mins"	""
" Oct 16 09:39"	" Oct 16 09:54"	"16 mins"	""
" Oct 16 05:56"	" Oct 16 08:36"	"2 hrs 40 mins"	""
" Oct 16 02:02"	" Oct 16 05:35"	"3 hrs 33 mins"	""
" Oct 15 21:44"	" Oct 16 01:37"	"3 hrs 53 mins"	""
" Oct 15 21:24"	" Oct 15 21:29"	"6 mins"	""
" Oct 15 15:31"	" Oct 15 16:16"	"45 mins"	""
" Oct 15 13:00"	" Oct 15 14:30"	"1 hr 30 mins"	""
" Oct 15 11:18"	" Oct 15 12:19"	"1 hr 1 min"	""
" Oct 15 06:10"	" Oct 15 07:10"	"1 hr"	""
" Oct 15 02:59"	" Oct 15 06:02"	"3 hrs 4 mins"	""
" Oct 15 00:26"	" Oct 15 02:42"	"2 hrs 16 mins"	""
" Oct 14 20:00"	" Oct 14 23:40"	"3 hrs 40 mins"	""
" Oct 14 17:14"	" Oct 14 18:44"	"1 hr 30 mins"	""
" Oct 14 12:36"	" Oct 14 15:53"	"3 hrs 18 mins"	""
" Oct 14 11:00"	" Oct 14 11:45"	"45 mins"	""
" Oct 14 07:08"	" Oct 14 08:08"	"1 hr"	""
" Oct 14 05:32"	" Oct 14 06:50"	"1 hr 18 mins"	""
" Oct 14 01:18"	" Oct 14 04:25"	"3 hrs 8 mins"	""
" Oct 13 20:52"	" Oct 14 00:52"	"4 hrs 1 min"	""
" Oct 13 17:20"	" Oct 13 18:20"	"1 hr"	""
" Oct 13 13:16"	" Oct 13 16:28"	"3 hrs 13 mins"	""
" Oct 13 10:15"	" Oct 13 11:45"	"1 hr 30 mins"	""
" Oct 13 06:30"	" Oct 13 08:59"	"2 hrs 29 mins"	""
" Oct 13 05:08"	" Oct 13 06:08"	"1 hr 1 min"	""
" Oct 13 04:10"	" Oct 13 04:45"	"35 mins"	""
" Oct 13 03:59"	" Oct 13 04:05"	"6 mins"	""
" Oct 13 01:45"	" Oct 13 02:54"	"1 hr 10 mins"	""
" Oct 12 22:32"	" Oct 13 01:23"	"2 hrs 52 mins"	""
" Oct 12 20:00"	" Oct 12 22:00"	"2 hrs"	""
" Oct 12 18:12"	" Oct 12 19:12"	"1 hr"	""
" Oct 12 17:06"	" Oct 12 17:36"	"30 mins"	""
" Oct 12 13:09"	" Oct 12 15:36"	"2 hrs 27 mins"	""
" Oct 12 09:36"	" Oct 12 12:29"	"2 hrs 54 mins"	""
" Oct 12 06:55"	" Oct 12 07:55"	"1 hr"	""
" Oct 12 04:09"	" Oct 12 06:39"	"2 hrs 31 mins"	""
" Oct 12 03:10"	" Oct 12 03:45"	"36 mins"	""
" Oct 11 21:55"	" Oct 12 01:35"	"3 hrs 40 mins"	""
" Oct 11 15:25"	" Oct 11 16:43"	"1 hr 18 mins"	""
" Oct 11 12:53"	" Oct 11 14:41"	"1 hr 48 mins"	""
" Oct 11 10:00"	" Oct 11 11:55"	"1 hr 55 mins"	""
" Oct 11 08:08"	" Oct 11 08:45"	"37 mins"	""
" Oct 11 02:37"	" Oct 11 06:54"	"4 hrs 17 mins"	""
" Oct 08 14:37"	" Oct 08 17:37"	"2 hrs 60 mins"	""
" Oct 08 12:37"	" Oct 08 13:42"	"1 hr 5 mins"	""
" Oct 08 11:16"	" Oct 08 11:51"	"35 mins"	""
" Oct 08 08:00"	" Oct 08 10:00"	"2 hrs"	""
" Oct 08 05:46"	" Oct 08 07:39"	"1 hr 53 mins"	""
" Oct 08 02:33"	" Oct 08 05:26"	"2 hrs 54 mins"	""
" Oct 07 21:15"	" Oct 08 01:43"	"4 hrs 28 mins"	""
" Oct 07 19:20"	" Oct 07 20:35"	"1 hr 16 mins"	""
" Oct 07 19:07"	" Oct 07 19:14"	"8 mins"	""
" Oct 07 17:33"	" Oct 07 18:04"	"31 mins"	""
" Oct 07 12:44"	" Oct 07 15:43"	"2 hrs 59 mins"	""
" Oct 07 10:12"	" Oct 07 11:00"	"48 mins"	""
" Oct 07 06:01"	" Oct 07 09:16"	"3 hrs 15 mins"	""
" Oct 07 01:25"	" Oct 07 05:44"	"4 hrs 19 mins"	""
" Oct 06 19:30"	" Oct 07 00:30"	"5 hrs"	""
